RR,water_feed(kmol/hr),methanol_feed(kmol/hr),glycerol_feed(kmol/hr),temperature(degC),pressure(Pa),utility_cost(USD/hr),total_purchase_cost(USD)
3.6,17,145,145,74,161325,253.14735020649616,213696.78209159986
6.7,17,145,145,72,166325,334.67762477801017,260856.2970407361
6.3,15,130,130,86,151325,281.94928307868827,245844.15525545445
4.7,16,140,140,52,188325,283.6434732529035,230157.28040658633
1.4,10,85,85,52,137325,115.67213140718961,177165.27644441611
3.6,3,30,30,62,117325,49.23857686510773,157121.41263624615
6.1,17,145,145,40,190325,334.6929560525843,254881.26051432829
6.0,15,135,135,76,141325,282.3258256982283,237598.3408890416
1.8,3,30,30,72,112325,40.469646668218246,148450.68869675603
1.9,13,115,115,74,187325,170.46314334556743,183080.0422941909
3.0,12,105,105,40,192325,250.49500473331105,183801.71058801556
6.6,7,65,65,62,116325,137.15347471249672,187247.16572773104
5.3,12,105,105,54,186325,223.4108204048901,213712.08678397056
4.4,13,115,115,50,198325,313.731526831772,198536.0086758662
2.0,14,120,120,80,104325,162.95994988151097,188152.80065391414
3.3,4,35,35,80,172325,59.56222239031982,156579.2872909389
1.5,12,105,105,48,198325,210.7072898048089,177309.47835907305
